StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40_1,Q40_2,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48
3/3/21 17:11,3/3/21 17:20,100,559,TRUE,3/3/21 17:20,R_1o1M8hTqzEx26yY,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Yes,Sometimes,,Rarely,Sometimes,A little,A little,Very often,Sometimes,Sometimes,Rarely,Rarely,Very often,Slightly,Rarely,Sometimes,Once a day,Sometimes,Never,Never,Rarely,Rarely,Some,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Stayed about the same,,face,face,arms,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,25
3/3/21 17:15,3/3/21 17:20,100,291,TRUE,3/3/21 17:20,R_1E67Bdx7wlmiJNm,EN,Not at all healthy,Always,Sometimes,Extremely often,Extremely often,Sometimes,Sometimes,Yes,Sometimes,,Sometimes,Sometimes,Quite a bit,Quite a bit,Rarely,Rarely,Very often,Sometimes,Always,Rarely,Slightly,Sometimes,Extremely often,Less than once a month,Extremely often,Never,Sometimes,Rarely,Never,Some,Sometimes,Sometimes,Rarely,Extremely often,Extremely often,Sometimes,Worsened,,Everything lol,Thighs,Stomach,No,Yes,Therapy,Yes,Bulimia ,...third year,Female,21
3/3/21 17:11,3/3/21 17:20,100,523,TRUE,3/3/21 17:20,R_0j5nthf61AFnyyl,EN,Very healthy,Rarely,Rarely,Rarely,Rarely,Never,Never,No,,Never,Never,Not applicable,Not at all,Not at all,Sometimes,Sometimes,Rarely,Sometimes,Never,Not applicable,Somewhat,Very often,Extremely often,Once a week,Never,Very often,Never,Never,Never,Some,Never,Never,Rarely,Never,Rarely,Rarely,Improved,Penis,None,Arms,Chest,Yes,No,,No,,...fifth year or more,Do not care to say,22
3/3/21 17:11,3/3/21 17:20,100,511,TRUE,3/3/21 17:20,R_1242nPscuRg0SIW,EN,Very healthy,Sometimes,Rarely,Sometimes,Very Often,Never,Rarely,No,,Rarely,Rarely,Not applicable,A little,A little,Always,Sometimes,Rarely,Rarely,Rarely,Not applicable,Very,Very often,Extremely often,Less than once a month,Rarely,Never,Never,Rarely,Never,Some,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Stayed about the same,Waist,Pecs,Torso,Face,Yes,No,,No,,...graduate student pursuing a Masters or PhD,Male,31
3/3/21 17:15,3/3/21 17:20,100,299,TRUE,3/3/21 17:20,R_2TAym04rfZo8ixG,EN,Extremely healthy,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Yes,Never,,Never,Never,Not at all,Not at all,Very often,Sometimes,Sometimes,Never,Never,Not applicable,Somewhat,Extremely often,Extremely often,Once a day,Sometimes,Never,Never,Rarely,Rarely,Most,Rarely,Rarely,Rarely,Never,Never,Sometimes,Improved,I’ve lost 50 pounds since august so I’m satisfied with pretty much the whole thing since I’ve lost fat. ,I wish my stomach was a bit smaller; I’ve made great progress but there’s still some more to go,Stomach fat,Facial/neck fat,No,No,,No,,...second year,Male,19
3/3/21 17:10,3/3/21 17:20,100,594,TRUE,3/3/21 17:20,R_1LjL0MHtWczDinD,EN,Somewhat healthy,Always,Rarely,Very often,Extremely often,Never,Never,Yes,Sometimes,,Rarely,Never,Some,Some,Always,Sometimes,Extremely often,Very often,Sometimes,Rarely,Very,Extremely often,Very often,Once a day,Sometimes,Never,Never,Sometimes,Never,Some,Very often,Very often,Rarely,Extremely often,Extremely often,Very often,Stayed about the same,My legs and skin complexion,My butt and upper arms,Stomach,Butt,Yes,Yes,Nutritionist and ED councilor ,No,,...second year,Female,19
3/3/21 17:12,3/3/21 17:20,100,488,TRUE,3/3/21 17:20,R_daG1w6lrRIO7jsR,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Very Often,Rarely,Never,Yes,Never,,Never,Rarely,Not at all,Not at all,Always,Rarely,Sometimes,Rarely,Sometimes,Rarely,Somewhat,Very often,Very often,Less than once a month,Rarely,Never,Never,Never,Never,A few,Sometimes,Very often,Sometimes,Rarely,Sometimes,Rarely,Stayed about the same,Eyes and hair,waist and hips,waist,hips,No,No,,No,,...third year,Female,20
3/3/21 17:14,3/3/21 17:20,100,351,TRUE,3/3/21 17:20,R_3gZAm1jRae70GsE,EN,Very healthy,Sometimes,Rarely,Sometimes,Very Often,Never,Never,Yes,Sometimes,,Rarely,Never,Not at all,Not at all,Always,Sometimes,Very often,Rarely,Never,Never,Somewhat,Very often,Sometimes,Less than once a month,Rarely,Rarely,Never,Sometimes,Rarely,A few,Very often,Very often,Extremely often,Rarely,Sometimes,Sometimes,Stayed about the same,,,stomach,butt,No,No,,No,,...first year,Female,18
3/3/21 17:12,3/3/21 17:20,100,495,TRUE,3/3/21 17:20,R_zZtZQmZ2aFVEjXH,EN,A little healthy,Always,Very often,Extremely often,Extremely often,Rarely,Sometimes,No,,Rarely,Rarely,Rarely,Quite a bit,Quite a bit,Always,Very often,Sometimes,Sometimes,Sometimes,Never,Somewhat,Very often,Very often,Once or twice a month,Very often,Never,Never,Never,Never,Most,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Stayed about the same,legs,arms/stomach,legs,face,No,Yes,therapist,Yes,bulimia nervosa,...first year,Female,19
3/3/21 17:15,3/3/21 17:20,100,335,TRUE,3/3/21 17:20,R_2zUAERuGXuMlF35,EN,A little healthy,Very often,Sometimes,Very often,Very Often,Sometimes,Very often,Yes,Sometimes,,Rarely,Not applicable,Not at all,A little,Very often,Never,Rarely,Sometimes,Sometimes,Not applicable,Slightly,Very often,Very often,Once a day,Rarely,Never,Never,Rarely,Never,Some,Rarely,Rarely,Rarely,Sometimes,Very often,Very often,Improved,Face,Man tits,Face ,Man tits,No,No,,No,,...third year,Male,21
3/3/21 17:17,3/3/21 17:20,100,176,TRUE,3/3/21 17:20,R_2bJp9HHD8HDGu0A,EN,Somewhat healthy,Rarely,Never,Rarely,Sometimes,Never,Never,Yes,Never,,Never,Not applicable,Not at all,Not at all,Rarely,Never,Never,Sometimes,Sometimes,Not applicable,Extremely,Sometimes,Sometimes,Once a day,Very often,Very often,Never,Never,Very often,Most,Very often,Rarely,Rarely,Never,Never,Never,Worsened,Beard,Belly,,,No,No,,No,,...third year,Male,21
3/3/21 17:15,3/3/21 17:20,100,327,TRUE,3/3/21 17:20,R_1IboKngKZi69rTU,EN,Very healthy,Never,Never,Never,Sometimes,Never,Never,Yes,Never,,Never,Never,Not at all,Not at all,Sometimes,Sometimes,Never,Rarely,Never,Not applicable,Very,Rarely,Sometimes,Less than once a month,Never,Never,Never,Never,Never,Most,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Stayed about the same,My height,My stomach.,Stomach,Chin,No,No,,No,,...third year,Male,20
3/3/21 17:14,3/3/21 17:20,100,364,TRUE,3/3/21 17:20,R_2f7gx76G2OMYRTk,EN,A little healthy,Always,Very often,Extremely often,Extremely often,Very often,Extremely often,Yes,Very often,,Sometimes,Very often,Some,Quite a bit,Very often,Rarely,Very often,Extremely often,Always,Always,Extremely,Sometimes,Extremely often,Once a week,Extremely often,Rarely,Never,Sometimes,Very often,Some,Very often,Extremely often,Sometimes,Extremely often,Extremely often,Very often,Stayed about the same,My eyes,My tummy / abdominal area,"(not sure if attention means positive or negative...) For negative, stomach/abdominal area. For positive, eyes.","For negative, thighs or arms. For positive, breasts.",Yes,Yes,therapy,Yes,"anorexia -- 7 years ago, mostly recovered. body dysmorphia -- 7 years ago, still very much an issue.",...fifth year or more,Female,24
3/3/21 17:13,3/3/21 17:20,100,416,TRUE,3/3/21 17:20,R_1kXCX7NoyqlLgof,EN,Not at all healthy,Always,Very often,Very often,Extremely often,Sometimes,Extremely often,No,,Sometimes,Very often,Always,A great deal,A great deal,Always,Sometimes,Very often,Very often,Very often,Sometimes,Somewhat,Very often,Very often,Less than once a month,Extremely often,Never,Never,Rarely,Rarely,Most,Rarely,Very often,Very often,Sometimes,Extremely often,Sometimes,Worsened,My butt,Stomach ,Stomach ,Butt ,No,Yes,General therapy ,Yes,Atypical anorexia with Bulimic and orthorexic  tendencies ,...third year,Female,20
3/3/21 17:16,3/3/21 17:20,100,253,TRUE,3/3/21 17:20,R_2UauDtq81yuYrPD,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Yes,Sometimes,,Rarely,Sometimes,A little,A little,Sometimes,Never,Rarely,Rarely,Rarely,Not applicable,Somewhat,Sometimes,Very often,Less than once a month,Sometimes,Sometimes,Never,Never,Never,Some,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Worsened,arms,lower stomache,stomach,chest,No,No,,No,,...fourth year,Male,22
3/3/21 17:16,3/3/21 17:20,100,248,TRUE,3/3/21 17:20,R_2QuK5ZxRNiyRd1w,EN,A little healthy,Very often,Very often,Very often,Extremely often,Rarely,Never,No,,Rarely,Never,Rarely,Some,Some,Always,Very often,Very often,Rarely,Rarely,Sometimes,Somewhat,Extremely often,Extremely often,Once a day,Very often,Never,Rarely,Rarely,Never,Most,Sometimes,Very often,Rarely,Extremely often,Extremely often,Sometimes,Worsened,Abs,Arms,Abs,Legs,No,Yes,University Mental Health Care,No,,...first year,Female,18
3/3/21 17:10,3/3/21 17:20,100,627,TRUE,3/3/21 17:20,R_AzVEiqAffwZdkyZ,EN,Very healthy,Very often,Never,Sometimes,Sometimes,Rarely,Very often,No,,Very often,Very often,Not applicable,Not at all,Not at all,Sometimes,Rarely,Very often,Very often,Sometimes,Not applicable,Slightly,Rarely,Very often,Once or twice a month,Rarely,Never,Never,Rarely,Sometimes,Some,Rarely,Rarely,Rarely,Rarely,Very often,Rarely,Stayed about the same,Face,Waist/hips,Face,Stomach,Yes,No,,No,,...fourth year,Male,21
3/3/21 17:17,3/3/21 17:21,100,227,TRUE,3/3/21 17:21,R_PvTSAi43chXhY41,EN,A little healthy,Very often,Sometimes,Very often,Very Often,Sometimes,Extremely often,Yes,Rarely,,Sometimes,Very often,A little,Not at all,Very often,Rarely,Very often,Sometimes,Sometimes,Not applicable,Slightly,Sometimes,Very often,Less than once a month,Sometimes,Rarely,Never,Rarely,Sometimes,A few,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Worsened,legs,stomach,hair,eyes,No,No,,No,,...fourth year,Female,22
3/3/21 17:17,3/3/21 17:21,100,238,TRUE,3/3/21 17:21,R_YWuXYnjs9iJTqNj,EN,A little healthy,Very often,Very often,Very often,Very Often,Very often,Extremely often,No,,Very often,Always,Sometimes,A little,Some,Always,Rarely,Extremely often,Rarely,Very often,Rarely,Somewhat,Extremely often,Very often,More than once a day,Very often,Never,Rarely,Sometimes,Never,Some,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very often,Stayed about the same,,my stomach and thighs ,,,Yes,No,,No,,...fourth year,Female,22
3/3/21 17:17,3/3/21 17:21,100,207,TRUE,3/3/21 17:21,R_3kof7RncxLEBso5,EN,Somewhat healthy,Very often,Sometimes,Very often,Extremely often,Rarely,Rarely,Yes,Sometimes,,Sometimes,Rarely,Some,Some,Always,Extremely often,Extremely often,Sometimes,Very often,Never,Somewhat,Very often,Extremely often,Once a day,Extremely often,Never,Never,Rarely,Rarely,Most,Rarely,Very often,Rarely,Rarely,Very often,Sometimes,Improved,Legs,Stomach,Legs,Shoulders ,No,No,,No,,...fourth year,Male,22
3/3/21 17:04,3/3/21 17:21,100,1029,TRUE,3/3/21 17:21,R_1jjIC3VFC4fxCf0,EN,Not at all healthy,Very often,Sometimes,Sometimes,Very Often,Rarely,Sometimes,No,,Never,Never,Not applicable,Quite a bit,Some,Very often,Rarely,Extremely often,Rarely,Sometimes,Never,Slightly,Extremely often,Rarely,Once or twice a month,Sometimes,Extremely often,Never,Very Often,Sometimes,A few,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Stayed about the same,Abs,Arms,Legs,Core,Yes,Yes,Nutritionist,No,,...second year,Female,19
3/3/21 17:10,3/3/21 17:21,100,638,TRUE,3/3/21 17:21,R_1IyfBf2U2Oy5KSi,EN,Very healthy,Sometimes,Sometimes,Sometimes,Very Often,Never,Rarely,No,,Rarely,Rarely,Sometimes,Not at all,A little,Very often,Sometimes,Sometimes,Sometimes,Rarely,Never,Very,Sometimes,Rarely,Less than once a month,Rarely,Never,Never,Rarely,Rarely,None,Sometimes,Sometimes,Rarely,Sometimes,Very often,Sometimes,Stayed about the same,Legs,Abdomen,Abdomen/waist,Thighs ,No,No,,No,,...second year,Female,19
3/3/21 17:10,3/3/21 17:21,100,621,TRUE,3/3/21 17:21,R_31osDaV5GatW4lM,EN,Very healthy,Very often,Very often,Rarely,Very Often,Rarely,Rarely,Yes,Sometimes,,Rarely,Very often,A little,A little,Very often,Very often,Never,Never,Very often,Very often,Not at all,Sometimes,Very often,Less than once a month,Rarely,Never,Never,Never,Never,Some,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Worsened,My arms,My shoulders,My legs,My stomach,No,No,,No,,...second year,Female,19
3/3/21 17:15,3/3/21 17:21,100,348,TRUE,3/3/21 17:21,R_SIR0MAmaKo73TIl,EN,A little healthy,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Yes,Rarely,,Rarely,Never,Not at all,A little,Very often,Rarely,Sometimes,Very often,Sometimes,Not applicable,Somewhat,Sometimes,Very often,Less than once a month,Sometimes,Never,Never,Rarely,Rarely,A few,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,Shoulders,Stomach ,arms,chest,No,No,,No,,...third year,Male,21
3/3/21 17:15,3/3/21 17:21,100,371,TRUE,3/3/21 17:21,R_3PFfLzurM5GE8Em,EN,Somewhat healthy,Very often,Very often,Sometimes,Very Often,Never,Never,Yes,Rarely,,Never,Always,Some,Some,Very often,Very often,Sometimes,Sometimes,Rarely,Very often,Slightly,Sometimes,Extremely often,Once or twice a month,Sometimes,Rarely,Never,Rarely,Never,A few,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Very often,Worsened,My stomach,"butt, legs, and chest",butt,chest,No,No,,No,,...first year,Female,18
3/3/21 17:17,3/3/21 17:21,100,223,TRUE,3/3/21 17:21,R_1KkDZ1AWzRSKyky,EN,A little healthy,Always,Sometimes,Very often,Very Often,Rarely,Sometimes,No,,Rarely,Never,Not applicable,Some,Quite a bit,Very often,Rarely,Never,Never,Very often,Never,Somewhat,Sometimes,Rarely,Less than once a month,Sometimes,Never,Never,Very Often,Rarely,Some,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Worsened,hair,height,stomach,thighs,No,No,,No,,...first year,Female,18
3/3/21 17:16,3/3/21 17:21,100,304,TRUE,3/3/21 17:21,R_b2zGaj2EiMflaLv,EN,A little healthy,Very often,Never,Rarely,Sometimes,Never,Very often,No,,Very often,Very often,Sometimes,Not at all,A little,Sometimes,Rarely,Sometimes,Very often,Very often,Not applicable,Very,Rarely,Sometimes,Once or twice a month,Sometimes,Never,Never,Rarely,Never,Some,,Sometimes,Rarely,Sometimes,Sometimes,Very often,Stayed about the same,This face...oh yeah,Big ole belly,Eyes,Big belly,Yes,No,,No,,...second year,Male,46
3/3/21 17:16,3/3/21 17:21,100,324,TRUE,3/3/21 17:21,R_2CwcjJZLS4V79FA,EN,A little healthy,Always,Very often,Extremely often,Extremely often,Sometimes,Extremely often,Yes,Very often,,Sometimes,Sometimes,Quite a bit,Quite a bit,Always,Very often,Extremely often,Extremely often,Always,Rarely,Very,Rarely,Very often,Once or twice a month,Sometimes,Never,Sometimes,Extremely often,Extremely often,Most,Very often,Very often,Sometimes,Extremely often,Extremely often,Extremely often,Worsened,My complexion ,My stomach and butt,Face,Boobs,No,No,,No,,...third year,Female,20
3/3/21 17:17,3/3/21 17:21,100,255,TRUE,3/3/21 17:21,R_1q7H2rxWNvBYOk1,EN,Somewhat healthy,Very often,Sometimes,Extremely often,Extremely often,Rarely,Very often,No,,Sometimes,Sometimes,Very often,Quite a bit,Some,Very often,Very often,Extremely often,Sometimes,Very often,Rarely,Very,Rarely,Extremely often,Less than once a month,Rarely,Never,Never,Rarely,Rarely,A few,Sometimes,Very often,Never,Extremely often,Extremely often,Rarely,Worsened,clear skin,"stomach area, boobs, butt, arms, legs",eyes,,No,No,,No,,...third year,Female,21
3/3/21 17:15,3/3/21 17:21,100,358,TRUE,3/3/21 17:21,R_C2ANNAmDhZizRLj,EN,A little healthy,Very often,Sometimes,Sometimes,Extremely often,Rarely,Rarely,Yes,Sometimes,,Sometimes,Rarely,Not at all,A little,Always,Sometimes,Sometimes,Rarely,Sometimes,Never,Extremely,Very often,Very often,Less than once a month,Sometimes,Never,Never,Never,Never,Some,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Extremely often,Worsened,Legs,Stomach area,Stomach ,Upper arms,No,No,,No,,...third year,Female,21
3/3/21 17:17,3/3/21 17:21,100,213,TRUE,3/3/21 17:21,R_3kGuPrUrwrj4R61,EN,A little healthy,Always,Always,Extremely often,Extremely often,Sometimes,Very often,Yes,Never,,Sometimes,Sometimes,Quite a bit,Quite a bit,Always,Extremely often,Extremely often,Extremely often,Always,Rarely,Very,Extremely often,Extremely often,Once a day,Very often,Never,Never,Sometimes,Rarely,A few,Rarely,Extremely often,Sometimes,Extremely often,Extremely often,Sometimes,Worsened,Eyes,Stomach and thighs,Stomach,Thighs,Yes,Yes,Therapist,No,,...second year,Female,19
3/3/21 17:16,3/3/21 17:21,100,288,TRUE,3/3/21 17:21,R_2Tv23BocuRW2kTJ,EN,Very healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Yes,Rarely,,Never,Never,A little,Not at all,Sometimes,Rarely,Never,Rarely,Never,Not applicable,Very,Extremely often,Sometimes,Less than once a month,Sometimes,Never,Never,Rarely,Never,Some,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Stayed about the same,My strength. ,My weight. ,My stomach.,My butt,No,No,,No,,...fourth year,Female,21
3/3/21 17:16,3/3/21 17:21,100,281,TRUE,3/3/21 17:21,R_1dzBHeTjy6eo78S,EN,Very healthy,Rarely,Never,Rarely,Sometimes,Never,Very often,No,,Never,Never,Not applicable,Not at all,Not at all,Sometimes,Never,Never,Never,Never,Not applicable,Somewhat,Sometimes,Very often,Less than once a month,Rarely,Never,Never,Never,Never,Most,Sometimes,Rarely,Never,Rarely,Rarely,Sometimes,Improved,muscles tone,stomach fat,muscle tone,stomach fat,No,No,,No,,...first year,Male,19
3/3/21 17:16,3/3/21 17:21,100,328,TRUE,3/3/21 17:21,R_6QpLFMJT33hsybL,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,No,,Never,Never,Not applicable,Not at all,Not at all,Sometimes,Never,Sometimes,Sometimes,Very often,Never,Very,Sometimes,Never,Less than once a month,Rarely,Never,Never,Rarely,Never,A few,Very often,Very often,Never,Sometimes,Sometimes,Sometimes,Worsened,,,,,No,No,,No,,...third year,Female,20
3/3/21 17:15,3/3/21 17:21,100,384,TRUE,3/3/21 17:21,R_2xGmpFBJPxVj8zX,EN,Not at all healthy,Very often,Rarely,Very often,Extremely often,Rarely,Never,Yes,Rarely,,Never,Never,Some,Some,Very often,Sometimes,Never,Sometimes,Very often,Never,Somewhat,Extremely often,Very often,Once or twice a month,Sometimes,Sometimes,Never,Rarely,Never,None,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,Arms,Butt,Stomach,Butt,No,No,,No,,...first year,Female,18
3/3/21 17:16,3/3/21 17:21,100,297,TRUE,3/3/21 17:21,R_wReinCChL0udr1f,EN,A little healthy,Very often,Never,Sometimes,Extremely often,Never,Never,Yes,Never,,Never,Never,Some,Not at all,Always,Sometimes,Sometimes,Sometimes,Never,Not applicable,Slightly,Extremely often,Extremely often,Once or twice a month,Sometimes,Very often,Never,Never,Never,A few,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Improved,Them juciy Lats,No cannonball shoulders,Back,Legs,No,No,,No,,...second year,Male,19
3/3/21 17:16,3/3/21 17:21,100,293,TRUE,3/3/21 17:21,R_3KPbxMTyrlzQBOO,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Yes,Rarely,,Never,Never,Not at all,Not at all,Rarely,Never,Rarely,Rarely,Rarely,Not applicable,Very,Rarely,Sometimes,Less than once a month,Rarely,Never,Never,Rarely,Rarely,Most,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Stayed about the same,I like my body,I feel I am a little overweight,face,breasts,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,37
3/3/21 17:17,3/3/21 17:21,100,259,TRUE,3/3/21 17:21,R_1jlwDKfMux6dxYl,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Yes,Never,,Never,Never,A little,A little,Sometimes,Never,Rarely,Very often,Rarely,Never,Slightly,Sometimes,Sometimes,Once or twice a month,Rarely,Never,Never,Never,Never,Some,Never,Sometimes,Rarely,Rarely,Rarely,Never,Stayed about the same,Eyes,Waist/stomach,Waist/hips,Eyes,No,No,,No,,...second year,Female,19
3/3/21 17:16,3/3/21 17:21,100,288,TRUE,3/3/21 17:21,R_12PiU2pm4hRFfDJ,EN,Somewhat healthy,Very often,Sometimes,Very often,Very Often,Sometimes,Sometimes,No,,Very often,Sometimes,Very often,Not at all,Not at all,Sometimes,Sometimes,Very often,Never,Very often,Sometimes,Slightly,Rarely,Sometimes,Less than once a month,Rarely,Never,Never,Rarely,Sometimes,Most,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,Eyes,Stomach,Face,Stomach,Yes,No,,No,,...fourth year,Female,21
3/3/21 17:16,3/3/21 17:21,100,337,TRUE,3/3/21 17:21,R_2D6VpfvoH0HlKRH,EN,Not at all healthy,Always,Very often,Extremely often,Extremely often,Rarely,Sometimes,No,,Extremely often,Always,Not applicable,Some,Some,Very often,Sometimes,Very often,Rarely,Always,Not applicable,Somewhat,Extremely often,Extremely often,Once a day,Extremely often,Never,Never,Never,Rarely,Some,Rarely,Very often,Never,Rarely,Sometimes,Rarely,Worsened,lips,abdomen,abdomen,thighs,Yes,No,,Yes,osfed,...fourth year,Female,21
3/3/21 17:17,3/3/21 17:21,100,288,TRUE,3/3/21 17:21,R_3dN6B0mks9o9X9u,EN,Somewhat healthy,Always,Always,Extremely often,Extremely often,Sometimes,Very often,No,,Sometimes,Sometimes,Not applicable,A little,Quite a bit,Always,Very often,Extremely often,Extremely often,Always,Always,Slightly,Very often,Extremely often,Less than once a month,Sometimes,Never,Sometimes,Rarely,Rarely,A few,Sometimes,Extremely often,Never,Extremely often,Extremely often,Sometimes,Worsened,nose,stomach,eyes,neck,No,No,,No,,...first year,Female,18
3/3/21 17:15,3/3/21 17:21,100,372,TRUE,3/3/21 17:21,R_1CEkvVBg1F6Zbfr,EN,Somewhat healthy,Very often,Rarely,Sometimes,Very Often,Never,Rarely,No,,Rarely,Sometimes,Not applicable,Some,Some,Very often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Somewhat,Very often,Sometimes,Less than once a month,Rarely,Never,Sometimes,Sometimes,Rarely,A few,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Worsened,My abs; sometimes,My legs and arms,Abs,Arms,No,Yes,Emotional therapy,Yes,Body dysmorphia ,...first year,Female,18
3/3/21 17:09,3/3/21 17:21,100,738,TRUE,3/3/21 17:21,R_3qIMNm3M9kgcZMy,EN,Somewhat healthy,Very often,Rarely,Sometimes,Sometimes,Never,Rarely,Yes,Never,,Rarely,Never,Not at all,Some,Rarely,Rarely,Never,Sometimes,Very often,Not applicable,Not at all,Sometimes,Never,Less than once a month,Never,Sometimes,Never,Rarely,Sometimes,Some,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Worsened,My hands,upper arm flab / gender dysphoria related torso shape,torso,face,Yes,Yes,"primarily hormone replacement therapy, but after nearly two years of therapy I'm finally beginning to address my body image with my therapist",No,,...third year,Nonbinary,21
3/3/21 17:12,3/3/21 17:21,100,568,TRUE,3/3/21 17:22,R_BQ8NW1BfiX3EUJr,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Very Often,Rarely,Extremely often,Yes,Never,,Never,Rarely,Not at all,Not at all,Always,Rarely,Sometimes,Very often,Rarely,Rarely,Somewhat,Sometimes,Sometimes,Once a week,Very often,Never,Never,Rarely,Sometimes,Most,Sometimes,Rarely,Sometimes,Very often,Sometimes,Rarely,Improved,my butt,my stomach,my butt,my stomach,No,Yes,Psychotherapy for an eating disorder,Yes,Bulimia,...first year,Female,19
3/3/21 17:17,3/3/21 17:22,100,301,TRUE,3/3/21 17:22,R_ugocZPBJHilpRJL,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Very Often,Rarely,Very often,Yes,Very often,,Very often,Very often,A little,A little,Very often,Sometimes,Sometimes,Rarely,Sometimes,Never,Slightly,Very often,Very often,Once a day,Sometimes,Never,Never,Sometimes,Never,Some,Sometimes,Sometimes,Sometimes,Never,Sometimes,Very often,Improved,Eyes,Butt/thighs,Skin,Belly,Yes,Yes,Therapist,Yes,Anorexia,...second year,Female,19
3/3/21 17:17,3/3/21 17:22,100,269,TRUE,3/3/21 17:22,R_2bN5Go4rmRZJbVa,EN,Extremely healthy,Very often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,No,,Rarely,Rarely,Sometimes,A little,Some,Very often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Somewhat,Very often,Sometimes,Once a day,Rarely,Never,Never,Never,Never,A few,Sometimes,Very often,Rarely,Rarely,Rarely,Sometimes,Stayed about the same,my abs,my thighs,my butt,my abs,No,No,,No,,...third year,Female,21
3/3/21 17:16,3/3/21 17:22,100,326,TRUE,3/3/21 17:22,R_2YEwUbppXnLr0bt,EN,Somewhat healthy,Rarely,Never,Rarely,Rarely,Never,Never,Yes,Never,,Never,Never,Not at all,Not at all,Never,Never,Rarely,Never,Never,Never,Somewhat,Sometimes,Very often,Less than once a month,Never,Sometimes,Never,Never,Never,Some,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Stayed about the same,My shoulders, my thighs,My chest,My arms,No,No,,No,,...third year,Male,21
3/3/21 17:18,3/3/21 17:22,100,197,TRUE,3/3/21 17:22,R_p66SzIwrNaeMNZ7,EN,Somewhat healthy,Always,Sometimes,Extremely often,Extremely often,Sometimes,Rarely,Yes,Never,,Rarely,Never,Some,Some,Always,Sometimes,Extremely often,Sometimes,Always,Rarely,Somewhat,Sometimes,Extremely often,Once or twice a month,Sometimes,Never,Never,Very Often,Never,A few,Sometimes,Very often,Sometimes,Very often,Sometimes,Very often,Worsened,Face,"Boobs, stomach, butt",Legs,Abs,No,No,,No,,...fourth year,Female,22
3/3/21 17:18,3/3/21 17:22,100,229,TRUE,3/3/21 17:22,R_3JaURZkP5B5smMa,EN,A little healthy,Very often,Sometimes,Sometimes,Sometimes,Never,Never,No,,Sometimes,Rarely,Never,Not at all,Not at all,Very often,Rarely,Very often,Never,Rarely,Never,Somewhat,Sometimes,Sometimes,Once a week,Sometimes,Sometimes,Never,Rarely,Rarely,Some,Sometimes,Very often,Never,Never,Sometimes,Sometimes,Worsened,Immune system,Hair,Hair,Hair,Yes,No,,No,,...second year,Female,19
